Simulado.
Constitución Española | De acuerdo con el artículo 1.1 de la Constitución Española, ¿cuáles son los valores superiores de su ordenamiento jurídico que propugna España al constituirse en un Estado social y democrático de Derecho? | La libertad, la justicia, la igualdad y el pluralismo político. | La libertad, la solidaridad, la igualdad y la seguridad jurídica. | La justicia, la equidad, la igualdad y la soberanía popular. | La libertad, la fraternidad, la justicia y la jerarquía normativa. | A | Según el artículo 1.1 de la Constitución Española: "España se constituye en un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político."
Constitución Española | Conforme al artículo 1.2 de la Constitución Española, ¿dónde reside la soberanía nacional de la que emanan los poderes del Estado? | En el pueblo español. | En las Cortes Generales. | En el Rey de España. | En el conjunto de las Administraciones Públicas. | A | El artículo 1.2 de la Constitución Española dispone literalmente que: "La soberanía nacional reside en el pueblo español, del que emanan los poderes del Estado."
Constitución Española | Según establece el artículo 1.3 de la Constitución Española, ¿cuál es la forma política del Estado español? | La Monarquía parlamentaria. | La República democrática. | La Monarquía constitucional representativa. | El Estado social y democrático de Derecho. | A | El artículo 1.3 de la Constitución Española determina de manera expresa que: "La forma política del Estado español es la Monarquía parlamentaria."
Constitución Española | A tenor del artículo 2 de la Constitución Española, ¿en qué se fundamenta la Constitución y qué derechos reconoce y garantiza respecto a los territorios que la integran? | Se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas. | Se fundamenta en el pacto federal de las regiones históricas y reconoce el derecho de autodeterminación de los pueblos y la libre asociación de los mismos. | Se fundamenta en la descentralización de competencias del Estado central y garantiza el principio de subsidiariedad y la autonomía local preferente. | Se fundamenta en la diversidad cultural de sus pueblos y garantiza la independencia administrativa y financiera de las Diputaciones Provinciales. | A | El artículo 2 de la Constitución Española establece literalmente: "La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas."
Constitución Española | De conformidad con el artículo 3.1 de la Constitución Española, respecto al castellano como lengua española oficial del Estado, ¿cuál es el deber y derecho que tienen todos los españoles? | Todos los españoles tienen el deber de conocerla y el derecho a usarla. | Todos los españoles tienen el derecho de conocerla y el deber de usarla preferentemente. | Todos los españoles tienen la facultad potestativa de conocerla y el derecho de exigirla ante las administraciones públicas. | Todos los españoles tienen la obligación de aprenderla y la prohibición de alternarla con lenguas cooficiales en actos públicos estatales. | A | El artículo 3.1 de la Constitución Española dispone textualmente: "El castellano es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla."
Constitución Española | Según prescribe el artículo 4.1 de la Constitución Española, ¿cómo está formada la bandera de España? | Está formada por tres franjas horizontales, roja, amarilla y roja, siendo la amarilla de doble anchura que cada una de las rojas. | Está formada por tres franjas verticales de igual anchura, siendo los colores rojo, amarillo y rojo. | Está formada por dos franjas horizontales de igual anchura, combinando los colores rojo y amarillo con el escudo institucional. | Está formada por tres franjas horizontales del mismo tamaño, ordenadas secuencialmente en rojo, gualda y rojo. | A | El artículo 4.1 de la Constitución Española detalla rigurosamente: "La bandera de España está formada por tres franjas horizontales, roja, amarilla y roja, siendo la amarilla de doble anchura que cada una de las rojas."
Constitución Española | Con arreglo al artículo 6 de la Constitución Española, ¿cuál es la exigencia constitucional explícita respecto a la estructura interna y el funcionamiento de los partidos políticos? | Su estructura interna y funcionamiento deberán ser democráticos. | Su estructura interna y funcionamiento se regularán por su propio reglamento interno sin interferencia del principio democrático. | Su estructura interna deberá ser asamblearia y su funcionamiento jerárquico. | Su estructura interna y funcionamiento deberán someterse a la autorización previa del Ministerio del Interior. | A | El artículo 6 de la Constitución Española determina en su inciso final que: "Su creación y el ejercicio de su actividad son libres dentro del respeto a la Constitución y a la ley. Su estructura interna y funcionamiento deberán ser democráticos."
Constitución Española | Según el artículo 8.1 de la Constitución Española, ¿cuál es la misión encomendada a las Fuerzas Armadas constituidas por el Ejército de Tierra, la Armada y el Ejército del Aire? | Garantizar la soberanía e independencia de España, defender su integridad territorial y el ordenamiento constitucional. | Mantener la seguridad ciudadana, proteger el libre ejercicio de los derechos y libertades y asegurar el orden público interno. | Colaborar exclusivamente con las fuerzas internacionales en misiones de paz y coordinar la defensa de las fronteras europeas. | Auxiliar a las administraciones públicas civiles en casos de grave riesgo, catástrofe, calamidad o emergencias sanitarias. | A | El artículo 8.1 de la Constitución Española define la misión militar de la siguiente forma: "Las Fuerzas Armadas, constituidas por el Ejército de Tierra, la Armada y el Ejército del Aire, tienen como misión garantizar la soberanía e independencia de España, defender su integridad territorial y el ordenamiento constitucional."
Constitución Española | El artículo 9.3 de la Constitución Española garantiza una serie de principios fundamentales. ¿Cuál de las siguientes agrupaciones recoge fielmente tres de esos principios garantizados constitucionalmente? | El principio de legalidad, la jerarquía normativa y la publicidad de las normas. | El principio de supletoriedad, la descentralización administrativa y el mandato imperativo. | El principio de retroactividad penal favorable, la analogía jurídica y la discrecionalidad técnica. | El principio de unidad jurisdiccional, la subsidiariedad tributaria y la inmunidad parlamentaria. | A | El artículo 9.3 de la Constitución Española establece textualmente: "La Constitución garantiza el principio de legalidad, la jerarquía normativa, la publicidad de las normas, la irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales, la seguridad jurídica, la responsabilidad y la interdicción de la arbitrariedad de los poderes públicos."
Constitución Española | A tenor del artículo 11.2 de la Constitución Española, ¿qué limitación absoluta se establece sobre la privación de la nacionalidad? | Ningún español de origen podrá ser privado de su nacionalidad. | Ningún español, sea de origen o por naturalización, podrá ser privado de su nacionalidad bajo ningún supuesto. | La nacionalidad de origen sólo podrá perderse en caso de comisión de delitos de alta traición contra el Estado. | La privación de la nacionalidad de origen podrá efectuarse mediante resolución judicial firme dictada por el Tribunal Supremo. | A | El artículo 11.2 de la Constitución Española consagra de forma categórica que: "Ningún español de origen podrá ser privado de su nacionalidad."
Constitución Española | De acuerdo con el artículo 12 de la Constitución Española, ¿a qué edad adquieren los españoles la mayoría de edad? | Los españoles son mayores de edad a los dieciocho años. | Los españoles son mayores de edad a los dieciséis años para el ámbito laboral y a los dieciocho para el político. | Los españoles son mayores de edad a los veintiún años de forma general. | Los españoles son mayores de edad a los dieciocho años salvo disposición contraria establecida en los derechos forales privados. | A | El artículo 12 de la Constitución Española determina de manera directa y concisa: "Los españoles son mayores de edad a los dieciocho años."
